disaster_type,month,global_dis_month_count,dis_total,disaster_month_rate,global_dis_month_pct
Cyclone,1,14,1149,0.012184508268059183,0.0021967676133689
Cyclone,2,2,1149,0.0017406440382941688,0.00031382394476698575
Cyclone,3,6,1149,0.005221932114882507,0.0009414718343009571
Cyclone,4,17,1149,0.014795474325500435,0.0026675035305193787
Cyclone,5,91,1149,0.07919930374238468,0.01427898948689785
Cyclone,6,129,1149,0.1122715404699739,0.02024164443747058
Cyclone,7,138,1149,0.12010443864229765,0.021653852188922015
Cyclone,8,164,1149,0.14273281114012185,0.02573356347089283
Cyclone,9,158,1149,0.13751087902523934,0.02479209163659187
Cyclone,10,196,1149,0.17058311575282856,0.0307547465871646
Cyclone,11,167,1149,0.1453437771975631,0.026204299388043306
Cyclone,12,67,1149,0.058311575282854654,0.010513102149694021
Earthquake,1,137,1799,0.07615341856586992,0.021496940216538522
Earthquake,2,138,1799,0.07670928293496387,0.021653852188922015
Earthquake,3,151,1799,0.0839355197331851,0.023693707829907422
Earthquake,4,150,1799,0.08337965536409116,0.02353679585752393
Earthquake,5,159,1799,0.08838243468593664,0.024949003608975364
Earthquake,6,140,1799,0.07782101167315175,0.021967676133689
Earthquake,7,156,1799,0.0867148415786548,0.024478267691824887
Earthquake,8,157,1799,0.08727070594774874,0.02463517966420838
Earthquake,9,172,1799,0.09560867148415786,0.02698885924996077
Earthquake,10,156,1799,0.0867148415786548,0.024478267691824887
Earthquake,11,149,1799,0.08282379099499722,0.023379883885140437
Earthquake,12,134,1799,0.0744858254585881,0.021026204299388042
Flood,1,129,2024,0.06373517786561265,0.02024164443747058
Flood,2,48,2024,0.023715415019762844,0.007531774674407657
Flood,3,79,2024,0.03903162055335968,0.012396045818295936
Flood,4,29,2024,0.01432806324110672,0.004550447199121293
Flood,5,89,2024,0.04397233201581028,0.013965165542130864
Flood,6,152,2024,0.07509881422924901,0.023850619802290914
Flood,7,873,2024,0.43132411067193677,0.13698415189078927
Flood,8,231,2024,0.11413043478260869,0.03624666562058685
Flood,9,171,2024,0.08448616600790514,0.02683194727757728
Flood,10,113,2024,0.055830039525691696,0.017731052879334692
Flood,11,73,2024,0.03606719367588933,0.011454573983994978
Flood,12,37,2024,0.018280632411067192,0.005805742978189236
Landslide,1,49,1401,0.03497501784439686,0.00768868664679115
Landslide,2,51,1401,0.03640256959314775,0.008002510591558137
Landslide,3,69,1401,0.04925053533190578,0.010826926094461007
Landslide,4,58,1401,0.04139900071377588,0.009100894398242586
Landslide,5,70,1401,0.049964311206281226,0.0109838380668445
Landslide,6,190,1401,0.13561741613133477,0.029813274752863644
Landslide,7,368,1401,0.26266952177016417,0.05774360583712537
Landslide,8,236,1401,0.1684511063526053,0.037031225482504315
Landslide,9,141,1401,0.1006423982869379,0.02212458810607249
Landslide,10,61,1401,0.04354032833690221,0.009571630315393065
Landslide,11,57,1401,0.04068522483940043,0.008943982425859092
Landslide,12,51,1401,0.03640256959314775,0.008002510591558137
